subawardee_uei,subawardee_name,entity_url,company_linkedin_url
K8N4PDLBFUG9,"CLIPPER OIL, INC.",http://www.clipperoil.com,https://linkedin.com/company/clipper-oil-company
K8NNCV3FVHA4,"DDAO, LLC",https://www.ddaosolutions.com,
K8NNV2MH8AE6,RICOH USA INC,http://www.ricoh-usa.com/,https://linkedin.com/company/ricoh-company-ltd-
K8NVRQDKJ1D6,"INSIGHT PIPE CONTRACTING, LLC",,
K8P8SQ4Z6JX4,HELMUT'S MARINE SERVICE,http://helmutsmarine.com,https://linkedin.com/company/helmut's-marine-service
K8QPQLGTRM33,"AMENTUM TECHNOLOGY, INC.",www.amentum.com,https://linkedin.com/company/amentumcorp
K8QZJRFE6PD8,"CV INTERNATIONAL, INC.",http://cvintl.com/,https://linkedin.com/company/cv-international-inc-
K8TKPM6WDHJ5,CENTENNIAL TECHNOLOGIES INC,www.centennialtechnologies.com,https://linkedin.com/company/centennial-technologies
K8W2J2DS9FN1,"SYNOPSYS, INC.",http://www.synopsys.com/,https://linkedin.com/company/synopsys
K8XPQLEA3SH5,"D & S MFG., INC.",www.dsmfg.com,https://linkedin.com/company/d-s-manufacturing
K8YTXDG1QL77,"ENGLANDER ENTERPRISES, INC.",https://www.impactelectronics.com/,https://linkedin.com/company/impact-electronic-solutions
K93HX96LHLE5,"WHELEN ENGINEERING COMPANY, INC.",www.whelen.com,https://linkedin.com/company/whelen-engineering
K94DP2NMUZX8,RC4VETS LLC,www.rc4vets.com,https://linkedin.com/company/rc4vets-llc
K95BGHSBLN45,"VERTECHS ENTERPRISES, INC.",http://www.vertechsusa.com,
K95SPKS33M71,"GLOBAL SYSTEMS ENGINEERING, LLC",www.intrepedpartners.com,
K97DGB4NAKJ5,LS TECHNOLOGIES LLC,http://www.lstechllc.com,https://linkedin.com/company/ls-technologies-llc
K9DWUSJDMCC7,GOVERNORS OF ST FRANCIS XAVIER,http://www.stfx.ca,https://linkedin.com/company/st.-francis-xavier-university
K9DYMNVGVQM3,"SCHUF USA, INC",,
K9EWFALM4498,"FOURGEN, LLC",,
K9FBFLATAET3,"MCKNEW CHIPPING, INC.",,
K9G2C434ARK8,"TEKTRONIX, INC.",https://www.tek.com/,https://linkedin.com/company/tektronix
K9H9E2NCL8M7,DIELCO CRANE SERVICE INC,,
K9HJHLAKXE96,JOHNSON CONTROLS FIRE PROTECTION LP,,
K9HLNJ6VRTT7,"HEROTEK, INC.",www.herotek.com,https://linkedin.com/company/herotek-inc
K9JSNTUKNWM5,"COMFORT SUPPLY, INC",CSIPGH.COM,https://linkedin.com/company/csipgh
K9KWBN71LKW1,RECOTECH AB,www.recotech.com,https://linkedin.com/company/recotech-ab
K9QNMN9AGE36,"GREEN CIRCUITS, INC.",www.greencircuits.com,https://linkedin.com/company/greencircuits
K9REEC338KM7,"SOUTHWIND CONSTRUCTION SERVICES, LLC",https://www.swconstruct.com,https://linkedin.com/company/southwind-construction-services-llc-ok
K9VJHKLBZ8N6,RECREATION DYNAMICS LLC,,
K9VMHL2MG5X7,"PH TOOL, LLC",http://www.phtool.com,https://linkedin.com/company/ph-tool-llc
K9W1STNWVMG8,"ENGRAVING CONCEPTS, LP",www.engravingconcepts.com,https://linkedin.com/company/engraving-concepts
K9XUZALA27S7,"JFROG, INC.",https://jfrog.com/,https://linkedin.com/company/jfrog-ltd
K9YAEMAL34X3,"CHARLEY TOPPINO & SONS, INC",http://www.charleytoppinoandsons.com,https://linkedin.com/company/charley-toppino-&-sons-inc-
K9ZDDLFDPFZ4,"STARCOMPLIANCE OPERATING, LLC",www.starcompliance.com,https://linkedin.com/company/starcompliance
KA2FEYP74PK6,HARMONIC DRIVE L.L.C.,http://harmonicdrive.net,https://linkedin.com/company/harmonic-drive-llc
KA2JKR8LZ1C3,IDENTITY SOFTWARE SOLUTIONS LLC,,
KA4NZQD8JVJ1,EMD MILLIPORE CORP,www.sigmaaldrich.com,
KA59EM3RLNW3,PER VICES CORPORATION,www.pervices.com,https://linkedin.com/company/per-vices-corporation
KA5FE1CQMA95,"NEWTON DESIGN, LLC",http://www.newton-design.com,https://linkedin.com/company/newton-design-llc
KA65QMR9CAD7,ROLLOUT SYSTEMS LLC,https://www.rolloutsys.com,https://linkedin.com/company/rollout-systems-llc
KABJZBBJ4B54,REGENTS OF THE UNIVERSITY OF MINNESOTA,,
KABTM29275Y8,THERMAL CERAMICS INC,,
KAG5KTZJ7LY3,"J.F.D. TUBE & COIL PRODUCTS, INC.",http://www.jfdcoil.com,https://linkedin.com/company/j-f-d-tube-&-coil-products-inc-
KAJUT9DFFJK2,"BCI SOLUTIONS, INC",http://www.bcisolutions.com,https://linkedin.com/company/bci-solutions-inc
KALTBLA9QNA5,HOOD TECH CORP VISION INC,http://www.hoodtech.com,https://linkedin.com/company/hood-technology-corporation
KAM6AE2K6TN3,"SECURE HEADSET GROUP, LLC",,
KAM6YHKXJC96,TVB TADJOURAH VILLE BLANCHE,,
KAMDTHMU3Z83,"ACTRON ENTITIES, INC.",https://www.actronengineering.com,https://linkedin.com/company/actron-entities-inc
KAR6JDB1HJ16,BLEN INC.,https://www.blencorp.com/,https://linkedin.com/company/blen-corp
KARPG8YV7XT8,"ICF ESAC, LLC",http://www.ICF.com,https://linkedin.com/company/icf-international
KATEB8XNR5P7,FUSION FABRICATING & MANUFACTURING LLC,www.fusionfabmfg.com,https://linkedin.com/company/fusion-fabricating-manufacturing
KATGKUYBGUQ7,VISIONEERING INC,www.vistool.com,https://linkedin.com/company/visioneering-inc.
KAUSH2N5N9G2,"ACADEMY LINES, L.L.C.",,
KAWTP8XNFEK9,"PLASMA PROCESSES, LLC",http://plasmapros.com,https://linkedin.com/company/plasma-processes-llc
KAXLJU5EAP62,INNOVASEA SYSTEMS INC,www.innovasea.com,https://linkedin.com/company/innovasea
KAY6LWKR4GY1,SALUTE INDUSTRIES INC,,
KAYNX5EVWR88,"ELECTRO PLATE CIRCUITRY, INC.",http://www.eplate.com,https://linkedin.com/company/electro-plate-circuitry
KAZ4JKA23UT5,"ENDICOTT PRECISION, INC.",EndicottPrecision.com,https://linkedin.com/company/endicott-precision-inc
KB6NZDMMP3N8,BEN GURION UNIVERSITY OF THE NEGEV,https://www.bgu.ac.il/en/,https://linkedin.com/company/ben-gurion-university
KB7JMM5NEMK5,"PROMED MOLDED PRODUCTS, INC.",www.promedmolding.com,https://linkedin.com/company/promedmolding
KB8BBLEREKL6,EQUINOXYS INC.,http://www.equinoxys.com,https://linkedin.com/company/equinoxys
KB99WN8JF8K9,AGRICULTURAL RESEARCH SERVICE,,
KB9VFTWKNWG8,"DEPENDABLE TOOL & DIE CO., INC.",,
KB9WHPNK13Q1,CSI MANUFACTURING INC,www.compsources.com,https://linkedin.com/company/component-sources-international-csi-group
